team,team_id_x,year,primary_pos_formatted,outs_above_average,outs_above_average_infront,outs_above_average_lateral_toward3bline,outs_above_average_lateral_toward1bline,outs_above_average_behind,outs_above_average_rhh,outs_above_average_lhh,actual_success_rate_formatted,adj_estimated_success_rate_formatted,diff_success_rate_formatted,team_id_y,pa,bip,ba,est_ba,est_ba_minus_ba_diff,slg,est_slg,est_slg_minus_slg_diff,woba,est_woba,est_woba_minus_woba_diff,is_wildcard
Orioles,110,2021,,-30,-7,-14,-10,1,-16,-14,77%,78%,-1%,,,,,,,,,,,,,0
Orioles,110,2019,,-33,-24,-1,-10,1,-37,3,78%,79%,-1%,BAL,6189.0,4220.0,0.246,0.242,0.004,0.415,0.401,0.0139999999999999,0.308,0.306,0.002,0
Orioles,110,2018,,-43,-4,-15,-23,-1,-17,-26,77%,78%,-1%,BAL,6034.0,4143.0,0.239,0.234,0.0049999999999999,0.391,0.383,0.008,0.299,0.299,0.0,0
Padres,135,2022,,33,12,8,6,6,19,14,80%,79%,1%,SD,6175.0,4204.0,0.241,0.237,0.004,0.382,0.373,0.009,0.308,0.306,0.002,0
Padres,135,2023,,27,19,1,3,3,28,-1,79%,78%,1%,SD,6180.0,4156.0,0.244,0.246,-0.002,0.413,0.418,-0.005,0.323,0.329,-0.006,0
Padres,135,2020,,20,9,2,7,1,9,11,79%,77%,2%,SD,2231.0,1519.0,0.257,0.27,-0.013,0.466,0.48,-0.0139999999999999,0.341,0.357,-0.0159999999999999,0
Padres,135,2021,,10,7,4,-6,5,5,5,79%,79%,0%,,,,,,,,,,,,,0
Padres,135,2018,,9,-4,3,8,2,27,-18,79%,78%,1%,SD,6059.0,4034.0,0.235,0.227,0.0079999999999999,0.38,0.359,0.021,0.294,0.288,0.006,0
Padres,135,2024,,6,10,-1,-7,3,-1,7,79%,78%,1%,SD,6103.0,4508.0,0.263,0.269,-0.006,0.42,0.422,-0.002,0.324,0.329,-0.005,0
Padres,135,2025,,-7,5,-9,-4,2,-7,0,80%,80%,0%,SD,6087.0,4356.0,0.252,0.26,-0.008,0.39,0.417,-0.0269999999999999,0.311,0.326,-0.015,0
Padres,135,2019,,-28,-13,4,-13,-5,-17,-11,77%,78%,-1%,SD,6019.0,3878.0,0.238,0.228,0.0099999999999999,0.41,0.391,0.0189999999999999,0.305,0.299,0.006,0
Padres,135,2017,,-29,-11,-16,0,-2,-23,-7,77%,78%,-1%,SD,5954.0,3942.0,0.234,0.224,0.01,0.393,0.367,0.026,0.298,0.288,0.01,0
Padres,135,2016,,-31,-2,-10,-15,-5,-31,-1,76%,77%,-1%,SD,5999.0,3992.0,0.235,0.232,0.0029999999999999,0.39,0.375,0.015,0.297,0.293,0.004,0
Phillies,143,2025,,12,1,-1,10,1,7,4,78%,77%,1%,PHI,6166.0,4238.0,0.258,0.262,-0.004,0.431,0.444,-0.013,0.329,0.336,-0.007,0
Phillies,143,2024,,7,-10,5,8,5,-8,15,78%,77%,1%,PHI,6166.0,4217.0,0.257,0.253,0.004,0.425,0.412,0.013,0.325,0.322,0.003,0
