Gcar,Gtm,Date,Team,Home,Opp,Result,Series,Inngs,Dec,DR,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA,FIP,Pit,Str,StL,StS,GB,FB,LD,PU,Unk,IR,IS,SB,CS,PO,AB,2B,3B,GIDP,SF,ROE,BAbip,aLI,WPA,acLI,cWPA,RE24,Entered,Exited,Id,GmSc,DFS(DK),DFS(FD)
16,2,2015-10-10,STL,,CHC,"L, 3-6",NLDS G2,6-7,,5,1.1,1,0,0,0,1,0,1,0,0,0,6,0.00,3.88,28,15,3,4,3,1,0,0,0,0,0,0,0,0,5,1,0,0,0,0,.250,0.37,0.0,5.99,-0.1%,-0.22,6t --- 0 out d3,7t 1-3 1 out d3,manesse01,,,
17,3,2015-10-12,STL,@,CHC,"L, 6-8",NLDS G3,6-6,,1,0.1,1,1,1,0,0,0,0,0,0,0,2,5.40,3.73,5,3,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.000,1.03,0.0,21.58,-0.2%,-0.19,6b --- 0 out d1,6b -2- 1 out d1,manesse01,,,
,,,,,,6-11,,,"W-L:1-0,BSv:1,Hld:1",,12.1,13,3,2,1,1,0,6,0,0,0,49,1.46,3.42,172,115,31,13,26,16,10,2,0,22,8,0,0,0,46,2,0,2,1,1,.300,0.94,-0.1,1.31,-10.3%,-0.08,,,manesse01,,,
1.0,3.0,2011-10-04,ARI,,MIL,"W, 8-1",NLDS G3,9-GF,,6.0,1.0,1,0,0,0,0,0,0,0,0,0,4,0.0,3.03,17,10,3,1,3,1,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0.25,0.02,0.0,0.16,0.0%,0.47,9t --- 0 out a7,9t 3 out a7,putzjj01,,,
2.0,4.0,2011-10-05,ARI,,MIL,"W, 10-6",NLDS G4,9-GF,,0.0,1.0,0,0,0,0,1,0,0,0,0,0,4,0.0,4.53,14,8,2,0,1,2,0,1,0,0,0,0,0,0,3,0,0,0,0,0,0.0,0.4,0.0,7.57,0.1%,0.47,9t --- 0 out a4,9t 3 out a4,putzjj01,,,
3.0,5.0,2011-10-07,ARI,@,MIL,"L, 2-3 (10)",NLDS G5,10-GF(10),L(0-1),1.0,0.1,2,1,1,0,0,0,0,0,0,0,3,3.86,4.31,10,6,2,0,1,2,2,0,0,0,0,1,0,0,3,0,0,0,0,0,0.667,2.51,-0.4,104.59,-8.5%,-1.03,10b --- 0 out tie,10b 1-- 1 out d1,putzjj01,,,
,,,,,,2-1,,,W-L:0-1,,2.1,3,1,1,0,1,0,0,0,0,0,11,3.86,4.31,41,24,7,1,5,5,2,1,0,0,0,1,0,0,10,0,0,0,0,0,0.3,0.93,-0.4,0.16,-8.3%,-0.09,,,putzjj01,,,
1.0,1.0,2017-10-05,BOS,@,HOU,"L, 2-8",ALDS G1,7-8,,6.0,1.0,1,1,1,1,1,0,1,0,0,0,4,9.0,17.16,18,10,2,1,0,2,0,0,0,0,0,0,1,0,3,0,0,0,0,0,0.0,0.03,0.0,0.5,0.0%,-0.5,7b --- 0 out d5,7b 3 out d6,maddoau01,,,
2.0,2.0,2017-10-06,BOS,@,HOU,"L, 2-8",ALDS G2,7-8,,0.0,1.0,2,0,0,0,1,0,1,0,0,0,6,4.5,10.66,31,20,5,2,1,3,1,1,0,0,0,0,0,0,5,0,0,0,0,0,0.5,0.02,0.0,0.35,0.0%,0.5,7b --- 0 out d7,7b 3 out d7,maddoau01,,,
,,,,,,0-2,,,W-L:0-0,,2.0,3,1,1,1,2,0,2,0,0,0,10,4.5,10.66,49,30,7,3,1,5,1,1,0,0,0,0,1,0,8,0,0,0,0,0,0.4,0.03,0.0,0.5,0.0%,-0.01,,,maddoau01,,,
1,2,2009-10-09,NYY,,MIN,"W, 4-3 (11)",ALDS G2,11-GF(11),W(1-0),4,1.0,1,0,0,0,0,0,0,0,0,0,4,0.00,3.10,9,7,2,1,2,2,1,0,0,2,0,0,0,0,4,0,0,0,0,0,.250,4.77,0.3,76.78,3.4%,1.59,11t 12- 0 out tie,11t 3 out tie,roberda08,,,
2,5,2009-10-17,NYY,,LAA,"W, 4-3 (13)",ALCS G2,12-GF(13),W(2-0),7,1.1,1,0,0,0,2,2,1,0,0,0,8,0.00,4.81,33,17,3,5,4,1,1,0,0,0,0,0,0,0,5,1,0,0,0,1,.250,3.55,0.2,94.21,2.8%,0.69,12t --- 2 out tie,13t 3 out tie,roberda08,,,
3,6,2009-10-19,NYY,@,LAA,"L, 4-5 (11)",ALCS G3,11-11,,1,0.2,0,0,0,0,0,0,0,0,0,0,2,0.00,4.43,11,6,3,1,1,1,0,0,0,0,0,0,0,0,2,0,0,0,0,0,.000,2.08,0.1,43.23,1.2%,0.42,11b --- 0 out tie,11b --- 2 out tie,roberda08,,,
4,10,2009-10-28,NYY,,PHI,"L, 1-6",WS G1,8-8,,8,0.1,1,0,0,0,1,0,0,0,0,0,3,0.00,5.20,13,6,2,1,2,0,0,0,0,2,2,0,0,0,2,0,0,0,0,0,.500,1.05,-0.1,54.74,-3.4%,-1.46,8t 1-3 2 out d2,8t 3 out d4,roberda08,,,
5,14,2009-11-02,NYY,@,PHI,"L, 6-8",WS G5,3-5,,4,2.0,1,0,0,0,0,0,2,0,0,0,7,0.00,3.66,27,17,7,1,3,2,1,1,0,2,1,0,0,0,7,0,0,0,0,0,.200,0.27,0.0,9.48,0.5%,1.35,3b 1-3 0 out d4,4b 3 out d5,roberda08,,,
6,1,2010-10-06,NYY,@,MIN,"W, 6-4",ALDS G1,7-8,H(1),2,0.1,0,0,0,0,1,0,1,0,0,0,2,0.00,6.08,10,5,3,2,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,2.11,0.0,33.12,0.4%,0.23,7b 1-- 2 out a2,7b 3 out a2,roberda08,,,
7,3,2010-10-09,NYY,,MIN,"W, 6-1",ALDS G3,8-8,H(2),2,0.1,0,0,0,0,0,0,0,0,0,0,1,0.00,4.58,3,2,1,0,0,1,0,0,0,3,0,0,0,0,1,0,0,0,0,0,.000,0.90,0.0,9.31,0.1%,0.79,8t 123 2 out a5,8t 3 out a5,roberda08,,,
8,5,2010-10-16,NYY,@,TEX,"L, 2-7",ALCS G2,6-7,,6,1.1,1,0,0,0,0,0,2,0,0,0,5,0.00,1.58,21,14,3,5,0,3,1,1,0,0,0,0,0,0,5,0,0,0,0,0,.333,0.08,0.0,2.05,0.1%,0.79,6b --- 0 out d5,7b --- 1 out d5,roberda08,,,
9,6,2010-10-18,NYY,,TEX,"L, 0-8",ALCS G3,9-9,,1,0.1,5,5,5,0,1,1,1,0,0,1,7,19.29,2.22,26,18,3,4,4,1,1,0,0,1,1,0,0,0,6,1,0,0,0,0,1.000,0.25,-0.1,7.85,-1.1%,-5.28,9t -2- 0 out d2,9t -23 1 out d7,roberda08,,,
10,7,2010-10-19,NYY,,TEX,"L, 3-10",ALCS G4,7-7,,0,0.2,0,0,0,0,0,0,1,0,0,0,2,15.00,1.75,8,5,3,0,0,1,1,0,0,0,0,0,0,0,2,0,0,0,0,0,.000,0.56,0.0,16.90,0.6%,0.42,7t --- 0 out d2,7t --- 2 out d2,roberda08,,,
11,9,2010-10-22,NYY,@,TEX,"L, 1-6",ALCS G6,5-6,,2,0.1,2,1,1,1,0,0,0,0,0,0,3,16.20,5.78,15,12,4,0,1,2,1,0,0,1,1,0,0,0,3,1,0,0,0,0,.500,0.43,-0.1,16.30,-2.5%,-1.66,5b -2- 2 out d2,5b 3 out d4,roberda08,,,
12,3,2011-10-03,NYY,@,DET,"L, 4-5",ALDS G3,8-GF,,5,1.0,0,0,0,0,0,0,1,1,0,0,4,0.00,4.03,14,9,4,0,2,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.62,0.0,12.95,0.4%,0.51,8b --- 0 out d1,8b 3 out d1,roberda08,,,
13,5,2011-10-06,NYY,,DET,"L, 2-3",ALDS G5,8-8,,2,1.0,0,0,0,0,0,0,1,0,0,0,3,0.00,2.53,13,7,2,2,1,1,0,1,0,0,0,0,0,0,3,0,0,0,0,0,.000,0.72,0.1,30.00,1.5%,0.53,8t --- 0 out d1,8t 3 out d1,roberda08,,,
14,1,2012-10-07,NYY,@,BAL,"W, 7-2",ALDS G1,9-GF(10),,4,0.1,0,0,0,0,0,0,1,0,0,0,1,0.00,-2.91,4,3,2,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,,0.07,0.0,1.09,0.0%,0.32,9b -2- 2 out a5,9b 3 out a5,roberda08,,,
15,2,2012-10-08,NYY,@,BAL,"L, 2-3",ALDS G2,8-GF,,0,1.0,0,0,0,0,0,0,1,0,0,0,3,0.00,0.09,13,11,3,3,2,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,.000,0.84,0.1,11.99,0.4%,0.89,8b 1-- 0 out d1,8b 3 out d1,roberda08,,,
